Gate OuterVoltage,Drain TotalCurrent
0,7.4021082e-21
0,7.5983659e-19
0,7.5954921e-19
0,7.5995712e-19
0,7.6012145e-19
0,7.6032952e-19
0,7.6052682e-19
0,7.6070942e-19
0,7.6087612e-19
0,7.6102826e-19
0,7.6116829e-19
0,7.6129875e-19
0,7.6142169e-19
0,7.6153876e-19
0,7.6165122e-19
0,7.6175998e-19
0,7.6186576e-19
0,7.6196909e-19
0,7.6207041e-19
0,7.6217005e-19
0,7.6226827e-19
0,7.623653e-19
0,7.6246131e-19
0,7.6252253e-19
-0.005,7.6097853e-19
-0.014733333,7.582655e-19
-0.033940444,7.5387884e-19
-0.058940444,7.496613e-19
-0.083940444,7.4665797e-19
-0.10894044,7.4450328e-19
-0.13394044,7.4294363e-19
-0.15894044,7.4180335e-19
-0.18394044,7.4096063e-19
-0.20894044,7.4033075e-19
-0.23394044,7.3985453e-19
-0.25894044,7.3949036e-19
-0.28394044,7.3920876e-19
-0.30894044,7.389887e-19
-0.33394044,7.3881507e-19
-0.35894044,7.3867692e-19
-0.38394044,7.3856635e-19
-0.40894044,7.384779e-19
-0.43394044,7.3839934e-19
-0.45894044,7.3832483e-19
-0.48394044,7.3826466e-19
-0.5,7.3823173e-19
-0.45,7.3834955e-19
-0.35266667,7.3870873e-19
-0.16319111,7.4164179e-19
0.086808889,8.1695541e-19
0.33680889,5.1762783e-18
0.58680889,7.1902395e-16
0.83680889,2.1591883e-13
1.0868089,9.9238514e-11
1.3368089,2.6325604e-8
1.5868089,3.1984591e-7
1.8368089,1.0654517e-6
2.0868089,2.2961679e-6
2.3368089,4.0150723e-6
2.5868089,6.2189878e-6
2.8368089,8.9054489e-6
3.0868089,1.2075159e-5
3.3368089,1.5731252e-5
3.5868089,1.9873992e-5
3.8368089,2.4496325e-5
4.0868089,2.9588473e-5
4.3368089,3.5140281e-5
4.5,3.9006933e-5